Date,Time,Age,Clutch,Test,Nontest,setupH,playbackH,tactileH,hypoxiaH,PropH,SUM of trait values,Indiv,Hcontext,HorNH,AmpR,Rsq,AmpL,Rsq,AverageR2,AverageAmp,Notes,outlier
,,,,,,,,,,0.878787879,7,4,2,0,43.34518317,0.960686257,32.28817578,0.872184073,0.916435165,16.60230547,,
,,,,,,,,,,0.878787879,7,5,2,0,39.31365445,0.972075184,37.16445982,0.936539454,0.954307319,19.05938357,,
,,,,,,,,,,0.878787879,7,6,2,0,47.42592089,0.949931204,46.46084593,0.968248627,0.959089916,23.70996792,,
20150705,3:37PM,,88,40,0,0,29,9,2,0.725,7,1,1,1,42.65181445,0.967657571,42.60164339,0.954955161,0.961306366,21.78147488,,
,,,,,,,,,,0.725,7,2,1,1,42.25245852,0.930743569,43.52991571,0.939531104,0.935137337,22.23252652,,
,,,,,,,,,,0.725,7,3,1,1,40.97935081,0.932223779,41.94609563,0.929434397,0.930829088,21.43846236,,
,,,,,,,,,,0.725,7,4,2,0,28.60199842,0.938109447,39.11013643,0.960426895,0.949268171,20.0297023,,
,,,,,,,,,,0.725,7,5,2,0,32.4322329,0.867303702,28.60498711,0.880934782,0.874119242,14.73955317,,
,,,,,,,,,,0.725,7,6,2,0,47.69518497,0.952148668,45.79557664,0.964505438,0.958327053,23.37695184,,
20150711,6:43PM,,123,39,2,0,4,13,22,0.102564103,6,1,1,1,34.59423013,0.957748014,31.04949323,0.920359586,0.9390538,15.99427352,,
,,,,,,,,,,0.102564103,6,2,1,1,26.31822832,0.905249525,28.73196466,0.931377733,0.918313629,14.82513914,,
,,,,,,,,,,0.102564103,5,3,1,1,19.09147648,0.840323854,30.63585747,0.903714803,0.872019329,15.7539384,,
,,,,,,,,,,0.102564103,6,4,3,0,21.20993393,0.914389067,20.4727974,0.928761707,0.921575387,10.69718639,,
,,,,,,,,,,0.102564103,7,5,3,0,13.4585571,0.855676986,17.40327559,0.900010184,0.877843585,9.140559588,,
,,,,,,,,,,0.102564103,6,6,3,0,25.42491663,0.827557553,25.43255629,0.873820002,0.850688778,13.14162253,,
20150711,8:03AM,,124,35,0,0,0,7,28,0,6,1,1,1,16.78730668,0.886970959,16.87069635,0.895671559,0.891321259,8.881008806,,
,,,,,,,,,,0,6,2,1,1,33.07984209,0.942148438,27.33594307,0.917571075,0.929859756,14.13290141,,
,,,,,,,,,,0,6,3,1,1,18.40797373,0.859618757,23.52611964,0.901538234,0.880578496,12.20334907,,
20150711,8:59AM,,125,30,2,0,2,6,22,0.066666667,6,1,1,1,39.45695154,0.946837728,31.59874537,0.876287062,0.911562395,16.25515388,,
,,,,,,,,,,0.066666667,7,2,1,1,28.20768356,0.89924475,34.25914772,0.838719415,0.868982082,17.5640649,,
,,,,,,,,,,0.066666667,7,3,1,1,20.97194314,0.865769819,19.22890135,0.813985984,0.839877902,10.03438963,,
,,,,,,,,,,0.066666667,6,4,3,0,23.608337,0.905028276,12.07873754,0.295078311,0.600053294,6.339395415,,
,,,,,,,,,,0.066666667,6,5,3,0,30.09786548,0.965491916,37.78893542,0.956880562,0.961186239,19.37506083,,
20150711,10:02AM,,126,38,0,0,3,8,27,0.078947368,6,1,1,1,28.98541162,0.903752109,30.10709072,0.920535323,0.912143716,15.50961722,,
,,,,,,,,,,0.078947368,6,2,1,1,33.69031214,0.944218521,34.11968596,0.951544128,0.947881325,17.53378364,,
,,,,,,,,,,0.078947368,6,3,1,1,37.13215711,0.94994845,30.65526339,0.901059457,0.925503954,15.79038367,,
,,,,,,,,,,0.078947368,6,4,3,0,19.89682775,0.905384716,17.44360275,0.907411541,0.906398129,9.175000439,,
,,,,,,,,,,0.078947368,6,5,3,0,33.81575933,0.950271557,31.26797999,0.928758934,0.939515246,16.10374762,,
,,,,,,,,,,0.078947368,6,6,3,0,29.66707122,0.970657503,34.35795252,0.976550683,0.973604093,17.66577831,,
20150711,10:59AM,,127,35,0,0,2,15,18,0.057142857,6,1,1,1,30.50443309,0.960871301,34.29944702,0.906981397,0.933926349,17.61668668,,
,,,,,,,,,,0.057142857,7,2,1,1,23.50494701,0.955170696,23.61989378,0.909656856,0.932413776,12.27615378,,
,,,,,,,,,,0.057142857,6,3,1,1,32.58002886,0.969297424,32.20881358,0.924587764,0.946942594,16.57787809,,
,,,,,,,,,,0.057142857,6,5,3,0,28.2059916,0.905593614,17.59762249,0.662941699,0.784267657,9.190945074,,
20150711,2:34PM,,128,28,1,0,2,13,13,0.071428571,7,1,1,1,37.47815622,0.954556642,39.43379581,0.970548372,0.962552507,20.19817416,,outlier
,,,,,,,,,,0.071428571,7,2,1,1,32.57251557,0.87969746,32.39131659,0.873139179,0.876418319,16.63386745,,
,,,,,,,,,,0.071428571,7,3,3,0,24.32349577,0.902997687,18.6790985,0.788449576,0.845723632,9.762411066,,
,,,,,,,,,,0.071428571,7,4,3,0,17.8883505,0.867712088,15.44818638,0.762734117,0.815223102,8.131704743,,
,,,,,,,,,,0.071428571,6,5,3,0,28.93744469,0.941806977,28.49649927,0.926192182,0.93399958,14.71524942,,
20150711,5:22PM,,129,37,0,0,18,18,1,0.486486486,7,1,1,1,31.46547437,0.946635489,34.41915763,0.946339837,0.946487663,17.68282265,,
,,,,,,,,,,0.486486486,7,2,1,1,39.01634111,0.971140915,32.10242982,0.91860245,0.944871682,16.52365075,,
,,,,,,,,,,0.486486486,7,3,1,1,26.06688148,0.953328556,38.04217565,0.937855944,0.94559225,19.49388395,,
,,,,,,,,,,0.486486486,7,4,2,0,26.94251576,0.93876519,35.48872831,0.94976274,0.944263965,18.21649614,,
,,,,,,,,,,0.486486486,7,5,2,0,32.80245261,0.982348594,29.04464686,0.977373247,0.979860921,15.01225389,,
,,,,,,,,,,0.486486486,7,6,3,0,35.16764522,0.943846298,30.17557275,0.896837867,0.920342082,15.54795742,,
20150711,7:44PM,,130,31,0,0,7,24,0,0.225806452,7,1,1,1,45.90572579,0.978342364,40.43750856,0.966385626,0.972363995,20.70493628,,
,,,,,,,,,,0.225806452,7,2,1,1,43.23346121,0.934273308,36.61516579,0.939512917,0.936893112,18.77602945,,
,,,,,,,,,,0.225806452,7,3,1,1,41.40871345,0.955630606,40.61095286,0.920698201,0.938164403,20.77455863,,
,,,,,,,,,,0.225806452,7,4,3,0,42.85254556,0.961211787,46.81316905,0.941813418,0.951512603,23.88234082,,
,,,,,,,,,,0.225806452,7,5,3,0,45.36997973,0.959849004,42.93663338,0.892136564,0.925992784,21.93131308,,
,,,,,,,,,,0.225806452,7,6,3,0,44.53836288,0.957531535,40.69476276,0.902222,0.929876767,20.81231976,,
20150711,8:08PM,,131,44,0,0,34,10,0,0.772727273,7,1,1,1,38.73275696,0.959840271,42.27437529,0.960531063,0.960185667,21.61728048,,
,,,,,,,,,,0.772727273,7,2,1,1,40.21225014,0.955755694,42.32373965,0.951693421,0.953724557,21.6387321,,
,,,,,,,,,,0.772727273,7,3,1,1,48.45290354,0.942905521,42.9591381,0.958869718,0.95088762,21.95501286,,
,,,,,,,,,,0.772727273,7,4,3,0,34.6089456,0.917203535,43.35010314,0.939465918,0.928334726,22.13921893,,
,,,,,,,,,,0.772727273,7,5,3,0,48.74951994,0.959504682,55.61319882,0.94958195,0.954543316,28.28387107,,
20150711,9:01PM,,139,57,5,0,40,16,1,0.701754386,7,1,1,1,45.53803016,0.962030595,50.15849995,0.960283621,0.961157108,25.55982853,,
