Order,Date,Stimulus,Clutch,Age Block,Age Days,Time Block,Individual,Stimulus Time,End Stimulus Time,Stimulus Hour,Stimulus Min,Stimulus Time,Response,Number Hatched of 2,Hour Hatched,Minute Hatched,Time Hatched,Latency to Hatch in Hours,Latency to Hatch in Minutes,Age Hatched,Time of First Hatch,Hours Since First Hatch,Amplitude Right Eye,R2 for Right Eye ,Amplitude for Left Eye,R2 for Left Eye,Average R2 Value,Average Amplitude,Degrees off center in Right,Degrees off center in Left,Total Degrees off center,Tadpole Length,Developmental Stage,Mean Length,Mean Stage
14,20150812,T,254,99,4,3,8,,,3,3,3.05,1,NA,3,5,3.083333333,0.033333333,1.99999998,99.083333,90.03333333,8.96666667,31.85951932,0.934501601,28.36971655,0.931781681,0.933141641,30.11461793,-7.94E+00,9.54E+00,-17.48862849,10.541,6,,
15,20150811,H,255,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,0,0,NA,NA,NA,NA,NA,NA,84.21666667,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.337,2,8.2285,2
16,20150811,H,255,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,84.21666667,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.12,2,,
17,20150811,H,255,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,0,1,NA,NA,NA,NA,NA,NA,84.21666667,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.715,2,8.5905,2
18,20150811,H,255,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,1,1,12,13,12.22,0.22,13.2,84.21666667,84.21666667,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.466,2,,
19,20150811,H,255,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,0,1,NA,NA,NA,NA,NA,NA,84.21666667,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.321,2,8.6165,2
20,20150811,H,255,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,1,1,15,26,15.43,0.5,30,87.43333333,84.21666667,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.912,2,,
21,20150811,H,255,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,1,2,18,15,18.25,0.32,19.2,90.25,84.21666667,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.232,3,9.098,3
22,20150811,H,255,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,1,NA,18,9,18.15,0.22,13.2,90.15,84.21666667,-3.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.964,3,,
23,20150811,T,255,90,3,18,1,,,18,29,18.48,0,0,NA,NA,NA,NA,NA,NA,93.45,-3.45,9.777343499,0.707053459,4.828927068,0.510853921,0.60895369,7.303135284,-2.00E+00,6.66E+00,-8.65092258,8.37,3,8.841,3
24,20150811,T,255,90,3,18,2,,,18,29,18.48,0,NA,NA,NA,NA,NA,NA,NA,93.45,-3.45,6.301570976,0.375040846,9.714490762,0.583364603,0.479202725,8.008030869,-6.50E+00,8.64E+00,-15.1381342,9.312,3,,
25,20150811,H,255,93,3,21,9,20:55_21:01,NA,20,55,20.92,1,2,21,10,21.17,0.25,15,93.16666667,84.21666667,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.892,4,9.0645,4
26,20150811,H,255,93,3,21,10,20:55_21:01,NA,20,55,20.92,1,NA,21,13,21.22,0.3,18,93.21666667,84.21666667,-0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.237,4,,
27,20150811,T,255,93,3,21,3,,,21,26,21.43,1,2,21,27,21.45,0.02,1.2,93.45,93.45,-0.45,27.05528893,0.898828693,30.66090588,0.870894187,0.88486144,28.8580974,-5.77E+00,1.24E+01,-18.21233968,9.055,4,9.1725,4
28,20150811,T,255,93,3,21,4,,,21,26,21.43,1,NA,21,30,21.5,0.07,4.2,93.5,93.45,-0.45,30.98627047,0.936591189,36.64521522,0.898270057,0.917430623,33.81574285,-4.40E+00,5.06E+00,-9.46649435,9.29,4,,
29,20150812,T,255,96,4,0,5,,,0,22,0.37,1,1,0,25,0.42,0.05,3,96.41666667,93.45,2.55,24.73521091,0.947599597,25.76920484,0.909926641,0.928763119,25.25220788,-4.38E+00,8.58E+00,-12.9529635,9.493,4,9.5665,4
30,20150812,T,255,96,4,0,6,,,,,,0,1,NA,NA,NA,NA,NA,NA,93.45,2.55,28.11217749,0.664446604,27.44032515,0.628490609,0.646468607,27.77625132,-3.97E+00,8.11E+00,-12.07417032,9.64,4,,
31,20150812,T,255,99,4,3,7,,,,,,1,2,3,19,3.32,NA,NA,99.31666667,93.45,5.55,35.10145193,NA,32.82597378,NA,NA,33.96371285,9.40E-01,1.82E+00,-0.875625119,9.689,6,9.717,6
32,20150812,T,255,99,4,3,8,,,,,,1,NA,3,17,3.28,NA,NA,99.28333333,93.45,5.55,46.92671251,NA,48.94968083,NA,NA,47.93819667,-6.66E+00,3.22E+00,-9.88212464,9.745,6,,
33,20150811,H,256,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,1,1,9,12,9.2,0.2,12,81.2,96.2,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.11,2,8.274,2
34,20150811,H,256,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,1,NA,NA,NA,NA,NA,NA,96.2,-15.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.438,2,,
35,20150811,H,256,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,0,1,NA,NA,NA,NA,NA,NA,96.2,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.603,2,8.613,2
36,20150811,H,256,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,1,1,12,21,12.35,0.35,21,84.35,96.2,-12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.623,2,,
37,20150811,H,256,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,1,2,15,15,15.25,0.32,19.2,87.25,96.2,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.932,2,8.718,2.5
38,20150811,H,256,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,1,NA,15,13,15.22,0.29,17.4,87.21666667,96.2,-9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.504,3,,
41,20150811,H,256,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93333333,1,2,18,14,18.23,0.29666667,17.8000002,90.23333333,96.2,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.316,3,8.85,3
42,20150811,H,256,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93333333,1,NA,18,20,18.33,0.39666667,23.8000002,90.33333333,96.2,-6.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.384,2,,
39,20150811,T,256,90,3,18,1,,,18,11,18.18333333,0,0,NA,NA,NA,NA,NA,NA,96.2,-6.2,1.745480351,0.077003962,3.67534793,0.137952663,0.107478312,2.710414141,-4.63E+00,9.67E+00,-14.30224836,8.862,3,8.824,3
40,20150811,T,256,90,3,18,2,,,18,11,18.18333333,0,NA,NA,NA,NA,NA,NA,NA,96.2,-6.2,3.53043355,0.097458438,6.260143599,0.300205548,0.198831993,4.895288575,-9.26E+00,7.33E+00,-16.58297179,8.786,3,,
43,20150811,T,256,93,3,21,3,,,21,13,21.21666667,0,0,NA,NA,NA,NA,NA,NA,96.2,-3.2,13.27752407,0.884018783,23.90429194,0.926616474,0.905317628,18.59090801,-5.31E+00,1.02E+00,-6.33145228,9.152,3,8.757,3
44,20150811,T,256,93,3,21,4,,,21,13,21.21666667,0,NA,NA,NA,NA,NA,NA,NA,96.2,-3.2,16.16560005,0.917447075,23.10385222,0.897671358,0.907559217,19.63472614,-7.26E+00,3.86E+00,-11.1255854,8.362,3,,
45,20150811,T,256,96,4,0,5,,,0,9,0.15,1,2,0,12,0.2,0.05,3,96.2,96.2,-0.2,21.65596924,0.857960109,20.64293745,0.824156348,0.841058228,21.14945335,-1.71E+00,3.08E+00,-4.79331364,10,5,9.841,5
46,20150811,T,256,96,4,0,6,,,0,9,0.15,1,NA,0,13,0.22,0.07,4.2,96.21666667,96.2,-0.2,13.4852497,0.806648435,16.29236815,0.487191546,0.646919991,14.88880893,-1.64E+00,4.76E+00,-6.40496231,9.682,5,,
47,20150812,T,256,99,4,3,7,,,3,10,3.166666667,1,2,3,12,3.2,0.033333333,1.99999998,99.2,96.2,2.8,19.75308817,0.930750359,23.34370666,0.926180316,0.928465337,21.54839741,-3.98E+00,5.16E+00,-9.13996506,9.922,5,9.7655,5
48,20150812,T,256,99,4,3,8,,,3,10,3.166666667,1,NA,3,12,3.2,0.033333333,1.99999998,99.2,96.2,2.8,48.23153719,0.293437,44.38490361,0.218625179,0.25603109,46.3082204,-4.78E+00,6.89E+00,-11.67457989,9.609,5,,
49,20150811,H,257,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,0,0,NA,NA,NA,NA,NA,NA,94.3,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.057,2,7.923,2
50,20150811,H,257,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,94.3,-13.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.789,2,,
51,20150811,H,257,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,0,0,NA,NA,NA,NA,NA,NA,94.3,-10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.919,2,7.9645,2
52,20150811,H,257,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,0,NA,NA,NA,NA,NA,NA,NA,94.3,-10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.01,2,,
53,20150811,H,257,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,0,0,NA,NA,NA,NA,NA,NA,94.3,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.373,2,8.373,2.5
54,20150811,H,257,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,0,NA,NA,NA,NA,NA,NA,NA,94.3,-7.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,,
55,20150811,H,257,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,1,1,18,20,18.33,0.4,24,90.33333333,94.3,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.808,2,8.4555,2
56,20150811,H,257,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,0,1,NA,NA,NA,NA,NA,NA,94.3,-4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.103,2,,
57,20150811,H,257,93,3,21,9,20:55_21:01,NA,20,55,20.92,1,2,21,15,21.25,0.33,19.8,93.25,94.3,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,9.115,3
58,20150811,H,257,93,3,21,10,20:55_21:01,NA,20,55,20.92,1,NA,21,16,21.27,0.35,21,93.26666667,94.3,-1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.115,3,,
59,20150811,T,257,93,3,21,1,,,22,14,22.23,1,1,22,18,22.3,0.07,4.2,94.3,94.3,-1.3,10.72716559,0.769870326,24.25422745,0.928381828,0.849126077,17.49069652,-5.61E+00,2.16E+00,-7.76855704,9.139,4,9.4025,4
60,20150811,T,257,93,3,21,2,,,22,14,22.23,0,1,NA,NA,NA,NA,NA,NA,94.3,-1.3,5.813033443,0.501983361,6.105242633,0.487065951,0.494524656,5.959138038,-3.75E+00,9.05E+00,-12.79408089,9.666,4,,
61,20150812,H,257,96,4,0,11,23:57_0:00,NA,0,-3,-0.05,1,2,0,14,0.23,0.28,16.8,96.23333333,94.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.966,4,9.7785,4
62,20150812,H,257,96,4,0,12,23:57_0:00,NA,0,-3,-0.05,1,NA,0,12,0.2,0.25,15,96.2,94.3,1.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.591,4,,
63,20150812,T,257,96,4,0,3,,,1,5,1.08,1,2,1,10,1.17,0.09,5.4,97.16666667,94.3,1.7,3.051743589,0.265919977,6.496924563,0.596135658,0.431027817,4.774334076,-6.91E+00,1.15E+01,-18.45461649,9.601,3,9.5825,3.5
64,20150812,T,257,96,4,0,4,,,1,5,1.08,1,NA,1,10,1.17,0.09,5.4,97.16666667,94.3,1.7,8.39638456,0.657741839,8.837913972,0.626329218,0.642035528,8.617149266,-7.49E+00,4.46E+00,-11.94341053,9.564,4,,
65,20150812,T,257,99,4,3,5,,,3,38,3.63,1,2,3,39,3.65,0.02,1.2,99.65,94.3,4.7,27.46598935,0.924972145,12.24157911,0.790836158,0.857904152,19.85378423,-1.73E+00,3.46E+00,-5.18950343,9.852,5,9.615,5
66,20150812,T,257,99,4,3,6,,,3,38,3.63,1,NA,3,42,3.7,0.07,4.2,99.7,94.3,4.7,23.0860622,0.943518238,23.12703942,0.926158959,0.934838598,23.10655081,-5.90E+00,-5.72E-01,-5.329923051,9.378,5,,
67,20150811,H,258,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,0,0,NA,NA,NA,NA,NA,NA,99.45,-18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.923,1,7.878,1.5
68,20150811,H,258,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,99.45,-18.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.833,2,,
69,20150811,H,258,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,0,0,NA,NA,NA,NA,NA,NA,99.45,-15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.794,2,7.772,2
70,20150811,H,258,84,3,12,4,12:00_12:02,12:40_12:42,12,0,12,0,NA,NA,NA,NA,NA,NA,NA,99.45,-15.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.75,2,,
71,20150811,H,258,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,1,2,15,30,15.5,0.57,34.2,87.5,99.45,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.198,2,8.3965,2
72,20150811,H,258,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,1,NA,15,19,15.32,0.39,23.4,87.31666667,99.45,-12.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.595,2,,
73,20150811,H,258,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,0,0,NA,NA,NA,NA,NA,NA,99.45,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.322,2,8.322,2
74,20150811,H,258,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,0,NA,NA,NA,NA,NA,NA,NA,99.45,-9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,,
75,20150811,H,258,93,3,21,9,20:55_21:01,NA,20,55,20.92,1,2,21,16,21.27,0.35,21,93.26666667,99.45,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.206,3,9.09,3
76,20150811,H,258,93,3,21,10,20:55_21:01,NA,20,55,20.92,1,NA,21,9,21.15,0.23,13.8,93.15,99.45,-6.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.974,3,,
77,20150811,T,258,93,3,21,1,,,21,40,21.67,0,0,NA,NA,NA,NA,NA,NA,99.45,-6.45,11.23261682,0.578756604,8.614543111,0.457387971,0.518072287,9.923579965,-2.08E+01,1.03E+01,-31.0607121,8.42,3,8.643,3
78,20150811,T,258,93,3,21,2,,,21,40,21.67,0,NA,NA,NA,NA,NA,NA,NA,99.45,-6.45,20.1963095,NA,16.17701404,NA,NA,18.18666177,-1.39E+01,7.74E+00,-21.67195524,8.866,3,,
79,20150812,T,258,96,4,0,3,,,0,37,0.62,0,0,NA,NA,NA,NA,NA,NA,99.45,-3.45,3.556632356,0.188556042,8.510329585,0.533295992,0.360926017,6.03348097,-6.15E+00,1.22E+01,-18.38755098,9.065,5,9.2905,5
80,20150812,T,258,96,4,0,4,,,0,37,0.62,0,NA,NA,NA,NA,NA,NA,NA,99.45,-3.45,6.674036822,0.420448924,9.680297525,0.730788872,0.575618898,8.177167174,-7.14E+00,8.01E+00,-15.15505729,9.516,5,,
81,20150812,T,258,99,4,3,5,,,3,24,3.4,1,2,3,27,3.45,0.05,3,99.45,99.45,-0.45,11.60770663,0.566825877,8.733087035,0.645266018,0.606045947,10.17039683,-1.60E+01,5.01E+00,-21.01704068,9.18,5,9.427,5
82,20150812,T,258,99,4,3,6,,,3,24,3.4,1,NA,3,25,3.42,0.02,1.2,99.41666667,99.45,-0.45,15.85616956,0.831219612,21.68718837,0.781568229,0.80639392,18.77167897,-1.76E+01,4.40E+00,-21.97891478,9.674,5,,
83,20150812,T,258,102,4,6,7,,,6,5,6.08,0,1,NA,NA,NA,NA,NA,NA,99.45,2.55,32.28948471,0.80218697,20.21454474,0.386607089,0.59439703,26.25201473,-1.33E+01,8.46E+00,-21.77594802,9.737,5,9.88,5
84,20150812,T,258,102,4,6,8,,,6,5,6.08,1,1,6,7,6.12,0.04,2.4,102.1166667,99.45,2.55,25.53289799,0.956638171,29.52923814,0.94506529,0.95085173,27.53106806,-6.03E+00,2.25E+00,-8.28279904,10.023,5,,
85,20150812,T,258,105,4,9,9,,,9,0,9,1,2,9,1,9.02,0.02,1.2,105.0166667,99.45,5.55,41.1602965,0.978125303,43.07222045,0.978738663,0.978431983,42.11625848,-3.19E+00,-2.97E+00,-0.2171962,9.375,6,9.556,6
86,20150812,T,258,105,4,9,10,,,9,0,9,1,NA,9,1,9.02,0.02,1.2,105.0166667,99.45,5.55,36.29260778,0.933230141,38.38593401,0.962439843,0.947834992,37.3392709,-1.92E+00,3.10E+00,-5.024145,9.737,6,,
87,20150811,H,259,81,3,9,1,9:00_9:02,9:40_9:47,9,0,9,0,0,NA,NA,NA,NA,NA,NA,94,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.676,1,7.1055,1.5
88,20150811,H,259,81,3,9,2,9:00_9:02,9:40_9:47,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,94,-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.535,2,,
89,20150811,H,259,84,3,12,3,12:00_12:02,12:40_12:42,12,0,12,0,0,NA,NA,NA,NA,NA,NA,94,-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.139,2,8.038,2
90,20150811,H,259,87,3,15,4,14:56_15:00,15:40_15:44,14,56,14.93,0,NA,NA,NA,NA,NA,NA,NA,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.937,2,,
91,20150811,H,259,87,3,15,5,14:56_15:00,15:40_15:44,14,56,14.93,0,1,NA,NA,NA,NA,NA,NA,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.687,2,8.5455,2
92,20150811,H,259,87,3,15,6,14:56_15:00,15:40_15:44,14,56,14.93,1,1,15,17,15.28,0.35,21,87.28333333,94,-7,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.404,2,,
93,20150811,H,259,90,3,18,7,17:56_18:01,18:41_18:43,17,56,17.93,1,2,18,18,18.3,0.37,22.2,90.3,94,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.536,2,8.6855,2
94,20150811,H,259,90,3,18,8,17:56_18:01,18:41_18:43,17,56,17.93,1,NA,18,15,18.25,0.32,19.2,90.25,94,-4,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.835,2,,
95,20150811,H,259,93,3,21,9,20:55_21:01,NA,20,55,20.92,1,2,21,15,21.25,0.33,19.8,93.25,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.613,2,8.82,2.5
96,20150811,H,259,93,3,21,10,20:55_21:01,NA,20,55,20.92,1,NA,21,16,21.27,0.35,21,93.26666667,94,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.027,3,,
97,20150811,T,259,93,3,21,1,,,21,56,21.93,0,1,NA,NA,NA,NA,NA,NA,94,-1,7.350773022,0.424492919,4.481989239,0.123258769,0.273875844,5.916381131,-1.21E+01,1.09E+01,-22.9889467,9.094,3,9.113,3
98,20150811,T,259,93,3,21,2,,,21,56,21.93,1,1,22,0,22,0.07,4.2,94,94,-1,11.0000063,0.362168405,4.254951417,0.028671463,0.195419934,7.62747886,-1.52E+01,1.03E+01,-25.53412,9.132,3,,
99,20150812,T,259,96,4,0,3,,,0,51,0.85,0,0,NA,NA,NA,NA,NA,NA,94,2,7.914565089,0.773735381,7.902803647,0.521589028,0.647662204,7.908684368,-5.73E+00,5.50E-01,-6.284319857,9.67,3,9.381,3
100,20150812,T,259,96,4,0,4,,,0,51,0.85,0,NA,NA,NA,NA,NA,NA,NA,94,2,5.643156592,0.263747583,5.999421998,0.373666312,0.318706947,5.821289295,-1.20E+01,7.71E+00,-19.68957139,9.092,3,,
101,20150812,T,259,99,4,3,5,,,3,31,3.52,1,2,3,33,3.55,0.03,1.8,99.55,94,5,20.65892895,0.880965795,19.24556176,0.880828776,0.880897285,19.95224535,-1.31E+01,1.20E+01,-25.0524496,9.599,5,9.442,5
102,20150812,T,259,99,4,3,6,,,3,31,3.52,1,NA,3,34,3.57,0.05,3,99.56666667,94,5,19.10362381,0.91751616,19.94087037,0.864618271,0.891067216,19.52224709,-2.75E+00,4.08E+00,-6.82929826,9.285,5,,
103,20150812,T,259,102,4,6,7,,,6,21,6.35,1,2,6,25,6.42,0.07,4.2,102.4166667,94,8,21.24433499,0.896589158,25.11959676,0.912883541,0.90473635,23.18196588,-7.92E+00,4.21E+00,-12.13340871,9.838,5,9.963,5
104,20150812,T,259,102,4,6,8,,,6,21,6.35,1,NA,6,26,6.43,0.08,4.8,102.4333333,94,8,22.31642708,0.873857513,22.93516824,0.883407661,0.878632587,22.62579766,-5.89E+00,6.11E+00,-11.99664805,10.088,5,,
105,20150812,H,262,78,3,6,1,06:04_06:05,6:44_6:47,6,4,6.07,0,0,NA,NA,NA,NA,NA,NA,96.36666667,-18.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.804,2,7.8915,2
106,20150812,H,262,78,3,6,2,06:04_06:05,6:44_6:47,6,4,6.07,0,NA,NA,NA,NA,NA,NA,NA,96.36666667,-18.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.979,2,,
107,20150812,H,262,81,3,9,3,9:00_9:02,9:40_,9,0,9,0,0,NA,NA,NA,NA,NA,NA,96.36666667,-15.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.727,1,8.3505,1.5
108,20150812,H,262,81,3,9,4,9:00_9:02,9:40_,9,0,9,0,NA,NA,NA,NA,NA,NA,NA,96.36666667,-15.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.974,2,,
109,20150812,H,262,84,3,12,5,11:55_11:57,12:35_,11,55,11.92,1,1,12,26,12.43,0.51,30.6,84.43333333,96.36666667,-12.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.021,2,8.7765,2
110,20150812,H,262,84,3,12,6,11:55_11:57,12:35_,11,55,11.92,0,1,NA,NA,NA,NA,NA,NA,96.36666667,-12.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.532,2,,
111,20150812,H,262,87,3,15,7,15:02_15:03,15:42_,15,2,15.03,1,2,15,26,15.43,0.4,24,87.43333333,96.36666667,-9.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.115,3,8.741,2.5
112,20150812,H,262,87,3,15,8,15:02_15:03,15:42_,15,2,15.03,1,NA,15,21,15.35,0.32,19.2,87.35,96.36666667,-9.36666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.367,2,,
113,20150812,T,262,87,3,15,1,,,15,34,15.57,0,0,NA,NA,NA,NA,NA,NA,96.36666667,-9.36666667,33.5716094,0.941914405,28.33507672,0.739058923,0.840486664,30.95334306,-1.15E+00,5.30E+00,-6.44857604,8.829,3,8.9575,3
